pacto,comuna,votos
Apruebo Dignidad,GENERAL LAGOS,12
Lista del apruebo,GENERAL LAGOS,10
Nueva Constitucion,GENERAL LAGOS,12
Otros,GENERAL LAGOS,31
Vamos por Chile,GENERAL LAGOS,18
Apruebo Dignidad,GORBEA,477
Del pueblo,GORBEA,581
Lista del apruebo,GORBEA,907
Nueva Constitucion,GORBEA,532
Otros,GORBEA,1069
Vamos por Chile,GORBEA,1395
Apruebo Dignidad,GRANEROS,900
Del pueblo,GRANEROS,1357
Lista del apruebo,GRANEROS,1073
Otros,GRANEROS,7418
Vamos por Chile,GRANEROS,1260
Apruebo Dignidad,GUAITECAS,108
Del pueblo,GUAITECAS,45
Lista del apruebo,GUAITECAS,169
Otros,GUAITECAS,42
Vamos por Chile,GUAITECAS,119
Apruebo Dignidad,HIJUELAS,1101
Del pueblo,HIJUELAS,1062
Lista del apruebo,HIJUELAS,753
Nueva Constitucion,HIJUELAS,948
Otros,HIJUELAS,1356
Vamos por Chile,HIJUELAS,1132
Apruebo Dignidad,HUALAIHUE,275
Del pueblo,HUALAIHUE,266
Lista del apruebo,HUALAIHUE,446
Nueva Constitucion,HUALAIHUE,799
Otros,HUALAIHUE,277
Vamos por Chile,HUALAIHUE,470
Apruebo Dignidad,HUALANE,403
Del pueblo,HUALANE,401
Lista del apruebo,HUALANE,1138
Nueva Constitucion,HUALANE,239
Otros,HUALANE,1350
Vamos por Chile,HUALANE,1141
Apruebo Dignidad,HUALPEN,3847
Del pueblo,HUALPEN,3944
Lista del apruebo,HUALPEN,4387
Nueva Constitucion,HUALPEN,3572
Otros,HUALPEN,11545
Vamos por Chile,HUALPEN,4241
Apruebo Dignidad,HUALQUI,918
Del pueblo,HUALQUI,966
Lista del apruebo,HUALQUI,1000
Nueva Constitucion,HUALQUI,997
Otros,HUALQUI,2855
Vamos por Chile,HUALQUI,1152
Apruebo Dignidad,HUARA,350
Lista del apruebo,HUARA,73
Otros,HUARA,485
Vamos por Chile,HUARA,216
Apruebo Dignidad,HUASCO,344
Del pueblo,HUASCO,2065
Lista del apruebo,HUASCO,473
Nueva Constitucion,HUASCO,439
Otros,HUASCO,248
Vamos por Chile,HUASCO,309
Apruebo Dignidad,HUECHURABA,5676
Del pueblo,HUECHURABA,6875
Lista del apruebo,HUECHURABA,3745
Nueva Constitucion,HUECHURABA,3489
Otros,HUECHURABA,8183
Vamos por Chile,HUECHURABA,5985
Apruebo Dignidad,ILLAPEL,1131
Del pueblo,ILLAPEL,4332
Lista del apruebo,ILLAPEL,1785
Otros,ILLAPEL,2706
Vamos por Chile,ILLAPEL,1550
Apruebo Dignidad,INDEPENDENCIA,6048
Del pueblo,INDEPENDENCIA,6444
Lista del apruebo,INDEPENDENCIA,2593
Nueva Constitucion,INDEPENDENCIA,2628
Otros,INDEPENDENCIA,6754
Vamos por Chile,INDEPENDENCIA,4614
Apruebo Dignidad,IQUIQUE,13877
Lista del apruebo,IQUIQUE,5433
Otros,IQUIQUE,24957
Vamos por Chile,IQUIQUE,11954
Apruebo Dignidad,ISLA DE MAIPO,2649
Del pueblo,ISLA DE MAIPO,3129
Lista del apruebo,ISLA DE MAIPO,2258
Nueva Constitucion,ISLA DE MAIPO,1289
Otros,ISLA DE MAIPO,836
Vamos por Chile,ISLA DE MAIPO,2388
Apruebo Dignidad,ISLA DE PASCUA,206
Del pueblo,ISLA DE PASCUA,309
Lista del apruebo,ISLA DE PASCUA,185
Nueva Constitucion,ISLA DE PASCUA,109
Otros,ISLA DE PASCUA,226
Vamos por Chile,ISLA DE PASCUA,311
Apruebo Dignidad,JUAN FERNANDEZ,9
Del pueblo,JUAN FERNANDEZ,14
Lista del apruebo,JUAN FERNANDEZ,17
Nueva Constitucion,JUAN FERNANDEZ,14
Otros,JUAN FERNANDEZ,483
Vamos por Chile,JUAN FERNANDEZ,33
Apruebo Dignidad,LA CISTERNA,4189
Del pueblo,LA CISTERNA,7814
Lista del apruebo,LA CISTERNA,6972
Otros,LA CISTERNA,9109
Vamos por Chile,LA CISTERNA,5498
Apruebo Dignidad,LA CRUZ,1302
Del pueblo,LA CRUZ,1273
Lista del apruebo,LA CRUZ,1027
Nueva Constitucion,LA CRUZ,689
Otros,LA CRUZ,1852
Vamos por Chile,LA CRUZ,1660
Apruebo Dignidad,LA ESTRELLA,281
Del pueblo,LA ESTRELLA,281
Lista del apruebo,LA ESTRELLA,171
Otros,LA ESTRELLA,936
Vamos por Chile,LA ESTRELLA,475
Apruebo Dignidad,LA FLORIDA,27300
Del pueblo,LA FLORIDA,22900
Lista del apruebo,LA FLORIDA,7920
Nueva Constitucion,LA FLORIDA,26964
Otros,LA FLORIDA,30158
Vamos por Chile,LA FLORIDA,30538
Apruebo Dignidad,LA GRANJA,6459
Del pueblo,LA GRANJA,8687
Lista del apruebo,LA GRANJA,6703
Nueva Constitucion,LA GRANJA,3460
Otros,LA GRANJA,10498
Vamos por Chile,LA GRANJA,3244
Apruebo Dignidad,LA HIGUERA,151
Del pueblo,LA HIGUERA,509
Lista del apruebo,LA HIGUERA,277
Otros,LA HIGUERA,408
Vamos por Chile,LA HIGUERA,342
Apruebo Dignidad,LA LIGUA,5056
Del pueblo,LA LIGUA,1520
Lista del apruebo,LA LIGUA,1578
Nueva Constitucion,LA LIGUA,893
Otros,LA LIGUA,1924
Vamos por Chile,LA LIGUA,1837
Apruebo Dignidad,LA PINTANA,7335
Del pueblo,LA PINTANA,8246
Lista del apruebo,LA PINTANA,3450
Nueva Constitucion,LA PINTANA,12168
Otros,LA PINTANA,9040
Vamos por Chile,LA PINTANA,4021
Apruebo Dignidad,LA REINA,8888
Del pueblo,LA REINA,5752
Lista del apruebo,LA REINA,9928
Nueva Constitucion,LA REINA,2146
Otros,LA REINA,9861
Vamos por Chile,LA REINA,14819
Apruebo Dignidad,LA SERENA,8888
Del pueblo,LA SERENA,5755
